price_in_rp,city,property_condition,land_size_m2,building_size_m2,electricity_mah,electricity,bedrooms,bathrooms,furnishing,facilities,swimming_pool,park,jogging_track
2990000000,Bekasi,bagus,239,272,4400 mah,"4,400",4,4,unfurnished,"Tempat Jemuran, Jalur Telepon, Taman, Taman",No Swimming Pool,Park,No Jogging Track
1270000000,Bekasi,bagus,55,69,2200 mah,"2,200",3,2,unfurnished,Taman,No Swimming Pool,Park,No Jogging Track
1950000000,Bekasi,bagus,119,131,2200 mah,"2,200",3,3,unfurnished,"Jogging Track, Kolam Renang, Masjid, Taman, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
3300000000,Bekasi,bagus sekali,180,174,3500 mah,"3,500",3,3,unfurnished,"Jalur Telepon, Jogging Track, Track Lari, Kolam Renang, Kolam Renang, Taman, Taman, CCTV, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
4500000000,Bekasi,bagus,328,196,3500 mah,"3,500",4,3,unfurnished,"Jogging Track, Kolam Renang, Taman, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
2700000000,Bekasi,bagus,136,200,3500 mah,"3,500",3,3,semi furnished,"Jalur Telepon, Taman, Keamanan, Kolam Renang",Swimming Pool,Park,No Jogging Track
2350000000,Bekasi,bagus,144,144,4400 mah,"4,400",2,2,unfurnished,"Keamanan, Kolam Renang",Swimming Pool,No Park,No Jogging Track
4500000000,Bekasi,bagus,216,250,3500 mah,"3,500",4,4,unfurnished,"Keamanan, Kolam Renang",Swimming Pool,No Park,No Jogging Track
2900000000,Bekasi,bagus,200,152,4400 mah,"4,400",3,3,semi furnished,Kitchen Set,No Swimming Pool,No Park,No Jogging Track
2700000000,Bekasi,bagus,136,200,3500 mah,"3,500",3,3,semi furnished,"Keamanan 24 jam, Kolam Renang",Swimming Pool,No Park,No Jogging Track
2550000000,Bekasi,bagus,144,186,2200 mah,"2,200",3,2,unfurnished,"Keamanan, Kolam Renang",Swimming Pool,No Park,No Jogging Track
952000000,Bekasi,baru,55,50,2200 mah,"2,200",2,2,unfurnished,"One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Taman, Playground, Wastafel, CCTV",Swimming Pool,Park,No Jogging Track
1800000000,Bekasi,bagus sekali,119,82,2200 mah,"2,200",2,1,semi furnished,"Ac, Jogging Track, Kolam Renang, Taman, Masjid, CCTV, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
2350000000,Bekasi,bagus,144,149,2200 mah,"2,200",3,3,unfurnished,"Jogging Track, Kolam Renang, Taman, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
2500000000,Bekasi,sudah renovasi,144,200,2200 mah,"2,200",3,3,unfurnished,"Jalur Telepon, Kolam Renang, Taman, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
2700000000,Bekasi,bagus,193,136,3500 mah,"3,500",3,3,unfurnished,"Tempat Jemuran, Track Lari, One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, Tempat Laundry, Playground, Jalur Telepon, Lapangan Basket",Swimming Pool,Park,Jogging Track
5360000000,Bekasi,baru,192,370,3500 mah,"3,500",5,4,unfurnished,"Tempat Jemuran, Jogging Track, Tempat Gym, Track Lari, Kolam Renang, Taman, Taman, Masjid, Kolam Ikan, Jalur Telepon, Keamanan, Lapangan Basket",Swimming Pool,Park,Jogging Track
952000000,Bekasi,baru,55,50,2200 mah,"2,200",2,2,unfurnished,"Tempat Jemuran, Track Lari, Kolam Renang, Masjid, Taman, Kolam Renang, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
2250000000,Bekasi,bagus,119,150,2200 mah,"2,200",4,3,unfurnished,"Tempat Jemuran, Track Lari, One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, Playground, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
2250000000,Bekasi,bagus,119,150,2200 mah,"2,200",3,2,semi furnished,"Tempat Jemuran, Track Lari, One Gate System, Kolam Renang, AC, Kitchen Set, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Playground, Wastafel, Jalur Telepon",Swimming Pool,Park,Jogging Track
2450000000,Bekasi,bagus,144,150,2200 mah,"2,200",3,3,unfurnished,"Jogging Track, Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Taman, Taman, Masjid, Keamanan",Swimming Pool,Park,Jogging Track
125000000,Bekasi,baru,110,110,1300 mah,"1,300",3,1,unfurnished,Taman,No Swimming Pool,Park,No Jogging Track
1980000000,Bekasi,bagus,119,98,3500 mah,"3,500",2,2,semi furnished,"Tempat Jemuran, Jogging Track, Track Lari, One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Ac, Taman, Playground, Lapangan Voli, AC, Keamanan, Lapangan Basket",Swimming Pool,Park,Jogging Track
764000000,Bekasi,baru,78,83,2200 mah,"2,200",3,3,unfurnished,"Track Lari, One Gate System, Taman, Playground, CCTV",No Swimming Pool,Park,Jogging Track
2000000000,Bekasi,bagus,164,155,2200 mah,"2,200",1,1,semi furnished,Jalur Telepon,No Swimming Pool,No Park,No Jogging Track
764000000,Bekasi,baru,78,83,2200 mah,"2,200",3,3,unfurnished,"Track Lari, One Gate System, Keamanan 24 jam, CCTV, Playground, Taman, CCTV",No Swimming Pool,Park,Jogging Track
2350000000,Bekasi,bagus,119,140,3500 mah,"3,500",3,2,furnished,"Kitchen Set, AC",No Swimming Pool,No Park,No Jogging Track
2550000000,Bekasi,sudah renovasi,144,186,2200 mah,"2,200",3,2,unfurnished,"Tempat Jemuran, Track Lari, One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Playground, Jalur Telepon, Lapangan Basket",Swimming Pool,Park,Jogging Track
480000000,Bekasi,baru,55,30,1300 mah,"1,300",2,1,unfurnished,"Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
1900000000,Bekasi,bagus sekali,91,120,3500 mah,"3,500",2,3,unfurnished,"Jalur Telepon, Taman, Keamanan, Kolam Renang",Swimming Pool,Park,No Jogging Track
300000000,Bekasi,baru,60,36,1300 mah,"1,300",2,1,semi furnished,"Taman, Ac, AC, Masjid, Jalur Telepon, Keamanan",No Swimming Pool,Park,No Jogging Track
5270000000,Bekasi,baru,192,307,3500 mah,"3,500",4,3,unfurnished,"Lapangan Tenis, Taman, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
2800000000,Bekasi,bagus,150,200,5500 mah,"5,500",4,3,furnished,"Jalur Telepon, Ac, Kolam Renang, Taman, CCTV, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
2710000000,Bekasi,bagus,135,149,3500 mah,"3,500",4,4,unfurnished,"Playground, Keamanan 24 jam, Lapangan Tenis, Kolam Renang",Swimming Pool,No Park,No Jogging Track
500000000,Bekasi,baru,72,42,2200 mah,"2,200",3,1,unfurnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
439000000,Bekasi,baru,60,37,2200 mah,"2,200",3,1,unfurnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
800000000,Bekasi,baru,92,82,2200 mah,"2,200",3,2,unfurnished,Taman,No Swimming Pool,Park,No Jogging Track
850000000,Bekasi,bagus,200,125,2200 mah,"2,200",3,2,unfurnished,"Tempat Jemuran, Masjid, Keamanan 24 jam, Taman, Taman, Masjid, Keamanan",No Swimming Pool,Park,No Jogging Track
700000000,Bekasi,bagus,90,146,3500 mah,"3,500",3,2,unfurnished,"Tempat Jemuran, Lapangan Bola, Akses Parkir, Track Lari, Masjid, Keamanan 24 jam, Tempat Laundry, Taman, Wastafel",No Swimming Pool,Park,Jogging Track
4950000000,Bekasi,bagus,348,430,5500 mah,"5,500",5,4,semi furnished,"CCTV, Ac, AC",No Swimming Pool,No Park,No Jogging Track
1300000000,Bekasi,baru,84,105,2200 mah,"2,200",4,4,unfurnished,"Jalur Telepon, Ac, Jogging Track, Tempat Jemuran, Lapangan Bola, Lapangan Tenis, Kolam Renang, AC, Mesin Cuci, Lapangan Bulu Tangkis, Taman, Wastafel, Pemanas Air, Tempat Gym, Masjid, Jalur Telepon, Keamanan, Track Lari",Swimming Pool,Park,Jogging Track
1200000000,Bekasi,baru,120,90,2200 mah,"2,200",3,2,semi furnished,"AC, Ac, Track Lari, Akses Parkir, One Gate System, Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang, Taman, Tempat Laundry, CCTV, Taman, Playground, Jogging Track, Masjid, Keamanan",Swimming Pool,Park,Jogging Track
2650000000,Bekasi,bagus,160,296,3500 mah,"3,500",5,4,unfurnished,"Masjid, Keamanan, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
1300000000,Bekasi,baru,84,105,2200 mah,"2,200",4,4,unfurnished,"Jalur Telepon, AC, Masjid, Kolam Renang, CCTV, Wastafel, Pemanas Air, Jalur Telepon, Tempat Jemuran, Akses Parkir, One Gate System, Keamanan 24 jam, Taman, Tempat Laundry, Playground, Keamanan, Mesin Cuci, Ac, Kolam Renang",Swimming Pool,Park,No Jogging Track
1300000000,Bekasi,baru,84,105,2200 mah,"2,200",4,4,unfurnished,"Tempat Jemuran, Jogging Track, Lapangan Bola, Lapangan Bulu Tangkis, AC, Mesin Cuci, Kolam Renang, Taman, Ac, Taman, Pemanas Air, Wastafel, Tempat Gym, Masjid, Keamanan, Track Lari",Swimming Pool,Park,Jogging Track
1300000000,Bekasi,baru,84,105,3500 mah,"3,500",4,3,unfurnished,"Jalur Telepon, Jogging Track, AC, Masjid, CCTV, Wastafel, Pemanas Air, Jalur Telepon, Tempat Jemuran, Lapangan Bulu Tangkis, Lapangan Bola, Akses Parkir, One Gate System, Keamanan 24 jam, Taman, Taman, Playground, Tempat Gym, Keamanan, Mesin Cuci, Ac, Kolam Renang, Track Lari",Swimming Pool,Park,Jogging Track
425000000,Bekasi,sudah renovasi,90,65,2200 mah,"2,200",2,1,unfurnished,"Masjid, Keamanan 24 jam, One Gate System, Taman",No Swimming Pool,Park,No Jogging Track
280000000,Bekasi,baru,70,40,1300 mah,"1,300",2,1,semi furnished,"Tempat Jemuran, Lapangan Bulu Tangkis, Lapangan Tenis, Akses Parkir, One Gate System, Masjid, Keamanan 24 jam, Taman, Tempat Laundry, CCTV, Playground, Wastafel, CCTV, Jalur Telepon, Track Lari",No Swimming Pool,Park,Jogging Track
999000000,Bekasi,bagus,127,190,3500 mah,"3,500",6,2,semi furnished,"Tempat Jemuran, Track Lari, Akses Parkir, One Gate System, Masjid, Keamanan 24 jam, Taman, Tempat Laundry, CCTV, Playground, Wastafel, AC, Jalur Telepon",No Swimming Pool,Park,Jogging Track
5750000000,Bekasi,baru,400,398,6600 mah,"6,600",5,4,unfurnished,"Mesin Cuci, Akses Parkir, Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang, Kulkas, Taman, Playground, Wastafel, Lapangan Voli, Masjid, Keamanan",Swimming Pool,Park,No Jogging Track
1500000000,Bekasi,bagus,100,136,1300 mah,"1,300",3,2,semi furnished,"Lapangan Tenis, AC, Masjid, Lapangan Bulu Tangkis, Kulkas, Wastafel, Pemanas Air, Jalur Telepon, Tempat Jemuran, Lapangan Bola, Akses Parkir, One Gate System, Lapangan Voli, Keamanan 24 jam, Taman, Tempat Laundry, Playground, Kolam Ikan, Lapangan Basket, Kitchen Set, Mesin Cuci, Track Lari",Swimming Pool,Park,Jogging Track
6800000000,Bekasi,bagus,700,1400,7700 mah,"7,700",8,9,semi furnished,"Lapangan Tenis, AC, Masjid, Lapangan Bulu Tangkis, CCTV, Kulkas, Wastafel, Pemanas Air, Jalur Telepon, Tempat Jemuran, Lapangan Bola, Akses Parkir, One Gate System, Lapangan Voli, Keamanan 24 jam, Taman, Tempat Laundry, Playground, Tempat Gym, Lapangan Basket, Kitchen Set, Mesin Cuci, Kolam Renang, Track Lari",Swimming Pool,Park,Jogging Track
3000000000,Bekasi,bagus,250,400,3300 mah,"3,300",4,5,unfurnished,Pemanas Air,No Swimming Pool,No Park,No Jogging Track
168000000,Bekasi,baru,60,19,1300 mah,"1,300",2,1,unfurnished,"Lapangan Bola, Masjid, Taman, Wastafel, Playground",No Swimming Pool,Park,No Jogging Track
870000000,Bekasi,baru,90,80,2200 mah,"2,200",3,1,unfurnished,"Tempat Jemuran, Taman, Wastafel",No Swimming Pool,Park,No Jogging Track
