order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD242234,ID0241807393,2019-11-08,Bakers,"[('Lucent 330S', 2), ('Olivia x460', 1)]",3685.0,103.09,-37.8129148,144.9857283,10,3419.59,Spring,True,0.8967,great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases,True
ORD412616,ID3881388131,2019-12-22,Bakers,"[('Olivia x460', 1), ('Thunder line', 2), ('Lucent 330S', 2), ('Candle Inferno', 1)]",8475.0,94.4,-37.8182669,145.0005497,25,6450.65,Summer,True,1.0326,happy customer awesome deal!,True
ORD189562,ID0600744896,2019-02-25,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 2)]",5590.0,77.85,-37.8113861,144.9665605,25,4270.35,Summer,True,0.8445,"not as advertised advertised as fully unlocked. it wasn't. advertised as having a sim card, it did not",False
ORD208081,ID0113541119,2019-09-10,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 1), ('Toshika 750', 2)]",18815.0,85.45,-37.817944,144.96349030000005,0,18900.45,Spring,True,0.5379,customer's loyalty i don't recommend the devices to nobody. i purchased one and was a waste of money. the store doesn't help the customers. don't even try to purchase from the flip cells seller.,False
ORD491126,ID0036822606,2019-04-19,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 1), ('Olivia x460', 1), ('pearTV', 2)]",18635.0,65.53,-37.8259985,144.96488269999998,15,15905.28,Autumn,False,0.9207,"great windows phone absolutely love this phone. camera is pretty impressive and the snapdragon dual core processor keeps apps running smoothly and almost no ""hang time"".",True
ORD274511,ID4418536059,2019-09-05,Thompson,"[('Thunder line', 2), ('Candle Inferno', 1)]",8425.0,84.31,-37.8019634,144.9633802,25,6403.06,Spring,False,1.8653,,True
ORD472122,ID0248746696,2019-04-01,Bakers,"[('iStream', 1), ('Universe Note', 2)]",7050.0,64.01,-37.8129849,144.9918837,5,6761.51,Autumn,False,0.4443,very happy arrived in perfect condition and no issues after two weeks.,True
ORD245974,ID4297530198,2019-05-14,Bakers,"[('Alcon 10', 2), ('Thunder line', 2)]",22260.0,81.68,-37.8015976,144.9779365,5,21228.68,Autumn,True,1.7855,"five stars great phone for 2010, now it seems outdated.",True
ORD244611,ID2143829872,2019-11-30,Thompson,"[('Lucent 330S', 2), ('pearTV', 1), ('Olivia x460', 1), ('Alcon 10', 2)]",27895.0,66.45,-37.8025466,144.9350257,15,23777.2,Spring,False,1.5468,one star when the company sent it to me it was defective,False
ORD065752,ID1668523257,2019-04-12,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1)]",5585.0,64.11,-37.8207411,144.9622671,10,5090.61,Autumn,False,0.6836,worth it! go for it! great mobile for this price. packaging was done neatly. genuine brand new mobile with all genuine accessories inside. very quick shipping by the seller. thank you.,True
