order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD280911,ID0667224586,2019-07-24,Thompson,"[('Lucent 330S', 2), ('Thunder line', 1), ('iStream', 1)]",4790.0,76.52,-37.813908700000006,144.95510269999997,0,4865.48,Winter,True,0.7198,"unbeatable value ! absolutely love the phone . 4gb ram. no nfc or dual band wifi if that matters to you. for the price, this phone is unbeatable. works perfectly on tmobile network in my area (southern california ).",True
ORD276867,ID0247018769,2019-02-26,Nickolson,"[('Thunder line', 1), ('Candle Inferno', 1)]",2610.0,78.94,-37.8112451,144.9686679,10,2427.94,Summer,True,0.8218,recieved mine with bad sim reader & broken sim tray returning will never ... recieved mine with bad sim reader & broken sim tray returning will never buy from seller again second phone ive gotten that was crap,False
ORD199743,ID2171141870,2019-11-09,Bakers,"[('Universe Note', 2), ('iStream', 1), ('Thunder line', 1), ('Lucent 330S', 1)]",10460.0,89.91,-37.8253236,145.0124101,5,10026.91,Spring,False,2.2788,"love it! love this phone! replaced my alcon 4s and the universe is so much better! bigger, easier to see screen, more features. love it!!!",True
ORD077837,ID0331164328,2019-01-28,Nickolson,"[('Olivia x460', 1), ('iStream', 2), ('Thunder line', 1), ('pearTV', 1)]",10015.0,89.67,-37.7998792,144.9687102,5,9603.92,Summer,True,2.0847,purchased for my kids but it was hard to navigate and ended up with purchasing an ipad,False
ORD487209,ID4157116184,2019-10-26,Bakers,"[('iStream', 2), ('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",13925.0,77.25,-37.8182639,144.99638249999995,15,11913.5,Spring,False,0.9259,currently setting everything up on it but so far so good.,True
ORD278981,ID0233314893,2019-04-01,Nickolson,"[('iAssist Line', 1), ('iStream', 1)]",2375.0,68.96,-37.8042729,144.975344,10,2206.46,Autumn,False,1.6737,fingerprint sensor is super fast i love this phone. lighting fast fingerprint sensor and great camera! all for under $200,True
ORD494624,ID4716795145,2019-11-30,Thompson,"[('Thunder line', 2), ('Alcon 10', 1), ('iAssist Line', 2)]",17760.0,76.59,-37.8187029,144.9532031,5,16948.59,Spring,False,0.8611,three stars phone is great but my two day shipping took longer then 2 days.,True
ORD029174,ID0681285055,2019-03-13,Bakers,"[('Universe Note', 1), ('Alcon 10', 1), ('Olivia x460', 1), ('Toshika 750', 1)]",17945.0,63.96,-37.8131879,144.9903765,15,15317.21,Autumn,False,0.5549,price is higher price is high as it didn’t have original charger. also it doesn’t have ear phones at all.,True
ORD197592,ID0033238452,2019-03-01,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2), ('iStream', 2)]",7070.0,78.99,-37.8238054,144.9624781,0,7148.99,Autumn,True,0.8504,good phone overall the phone was really good. the display was good. even though it was used there weren't any scratches or dents visible.,True
ORD335292,ID0576875920,2019-06-11,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Thunder line', 2)]",7670.0,73.21,-37.8183117,144.9755586,15,6592.71,Winter,True,0.5292,my phone good product for the price but too small for my taste,True
ORD363053,ID0250480649,2019-08-16,Bakers,"[('Olivia x460', 1), ('Candle Inferno', 1), ('Thunder line', 1), ('pearTV', 2)]",16455.0,75.54,-37.8109632,145.00472119999995,0,16530.54,Winter,True,0.8414,"2 years now, i review this on my s8+ i love it",True
ORD392955,ID1132014852,2019-09-26,Thompson,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090.0,72.53,-37.8150276,144.94505800000005,0,2162.53,Spring,False,0.3162,was not nunlocked at time of purchase it was not unlocked!!!!!!!!!. after being unlocked it was very good. would recommend to someone interested in the hassle of unlocking.,True
ORD362290,ID0582797126,2019-10-28,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Toshika 750', 2)]",13325.0,76.64,-37.820017,144.97864740000003,10,12069.14,Spring,False,0.8154,it’s really unlocked to any carrier still in love with this phone💜💜,True
ORD215566,ID2384091392,2019-02-12,Nickolson,"[('iStream', 1), ('Toshika 750', 2), ('Lucent 330S', 2)]",11250.0,88.2,-37.8177426,144.9660599,5,10775.77,Summer,True,0.3213,good phone a bit over priced considering the year it came out but a great product.,True
ORD484035,ID0457365640,2019-04-29,Nickolson,"[('pearTV', 1), ('iStream', 1)]",6460.0,62.59,-37.8201828,144.9734785,5,6199.59,Autumn,True,0.388,upset received a fake s7 not even a s7 edge,False
ORD004833,ID0702460953,2019-11-26,Thompson,"[('pearTV', 1), ('Thunder line', 2), ('iStream', 2)]",10970.0,101.54,-37.8052165,144.9492987,10,9974.54,Spring,True,0.8529,great it was a great deal to buy this smart phone... i love it.... everything is good thank you.... nice item,True
ORD020090,ID0202473000,2019-08-25,Thompson,"[('Toshika 750', 2), ('Universe Note', 2), ('Thunder line', 2), ('Alcon 10', 2)]",37800.0,81.81,-37.8028844,144.933945,5,35991.81,Winter,True,1.5873,five stars everything is perfect!,True
ORD487877,ID1986325611,2019-09-01,Bakers,"[('Toshika 750', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",11230.0,101.29,-37.8055175,144.9979872,25,8523.79,Spring,True,0.5543,five stars this replaces my mother's old phone. seems to work for her very well.,True
ORD363760,ID2207974389,2019-08-15,Thompson,"[('Candle Inferno', 2), ('iStream', 2), ('Toshika 750', 2), ('pearTV', 2)]",22420.0,67.38,-37.8031013,144.9495505,15,19124.38,Winter,False,1.0876,five stars oh yeah,True
ORD318484,ID3394728757,2019-03-27,Nickolson,"[('pearTV', 1), ('Alcon 10', 1), ('Thunder line', 1), ('Toshika 750', 1)]",21760.0,66.42,-37.8197751,144.9599386,10,19650.42,Autumn,False,0.8554,"five stars i liked everything,",True
ORD102630,ID0122817669,2019-09-04,Thompson,"[('Lucent 330S', 2), ('Universe Note', 2)]",9360.0,63.48,-37.822214,144.9499179,10,8487.48,Spring,False,1.0912,fell once from a table to the floor which has carpet ... it fell once from a table to the floor which has carpet and it cracked my screen. i had not dropped it before. the table was not tall it was a coffee table.,False
ORD210588,ID5668043851,2019-10-17,Bakers,"[('Universe Note', 2), ('Toshika 750', 2)]",15540.0,110.45,-37.80253629999999,145.015988,10,14096.45,Spring,True,2.0055,i love the phone but the wall adaptor is unable to ... i love the phone but the wall adaptor is unable to work with my outlets and i tried using a different one and it literally took 24hr to charge and has a message saying due to the charge the phone is charging at the slowest rate.,True
ORD358881,ID4716795533,2019-01-30,Thompson,"[('iStream', 1), ('Toshika 750', 2)]",8790.0,95.0,-37.8187986,144.95336830000005,15,7566.5,Summer,True,0.8785,happy but not satisfied. i was happy to get the phone delivered before the estimated delivery date but when the box was opened it put me down as it was missing the earphones. would definitely have rated 5* but not acceptable,True
ORD011467,ID0662736530,2019-06-24,Nickolson,"[('pearTV', 1), ('Toshika 750', 1)]",10630.0,63.75,-37.8251715,144.9701441,0,10693.75,Winter,False,0.7339,great deal perfect! i love everything about this phone. much better than 1st gen lucent x,True
ORD472753,ID0579488505,2019-11-01,Thompson,"[('Candle Inferno', 2), ('Universe Note', 2), ('iAssist Line', 1), ('pearTV', 2)]",22605.0,96.63,-37.8140854,144.94885580000005,15,19310.88,Spring,True,0.2223,"good buy, good phone. the phone is perfect except the heart and o2 monitor don't work correctly so that sucks. but all in all a great buy. would be 5 stars if everything would have worked.",True
ORD294002,ID0781082017,2019-03-31,Bakers,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090.0000000000045,69.65,-37.8269597,145.01305469999997,0,2159.6500000000046,Autumn,True,2.454,not best purchase this phone got tons of screen frozen issues,False
ORD431075,ID0443302596,2019-05-13,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 1), ('iStream', 2), ('Thunder line', 2)]",10340.0,80.19,-37.8133448,145.0056668,10,9386.19,Autumn,True,0.9905,"excellent quality, unbeatable price / quality / performance excellent quality, unbeatable price / quality / performance",True
ORD176083,ID0571459351,2019-04-19,Thompson,"[('Universe Note', 1), ('Thunder line', 1), ('Lucent 330S', 1), ('Olivia x460', 2)]",9310.0,49.37,-37.810778000000006,144.9391446,5,8893.87,Autumn,False,0.7281,exactly what you worry about with a refurbish purchase. :( battery is basically dead. how do you not refurbish that of all things?,False
ORD304441,ID6167359504,2019-09-01,Nickolson,"[('Alcon 10', 1), ('Universe Note', 1), ('Lucent 330S', 1)]",13630.0,102.74,-37.8093847,144.9730268,5,13051.24,Spring,True,1.0699,"who needs the note 7? great phone. i prefer 6"" screens, but this works for now on verizon.",True
ORD309298,ID0702353978,2019-06-02,Thompson,"[('Toshika 750', 1), ('Olivia x460', 1), ('Lucent 330S', 2)]",8005.0,51.8,-37.8058959,144.9430475,5,7656.55,Winter,False,0.8332,nunca llegó el producto nunca llegó este producto...fue extraviado...y demoraron en avisar... motivo por el cual no pude realizar otra compra,False
ORD308492,ID0127649149,2019-11-02,Thompson,"[('iAssist Line', 2), ('Toshika 750', 1), ('pearTV', 2)]",21390.0,102.5,-37.8065986,144.9427926,5,20423.0,Spring,True,0.7738,ho nice,True
ORD481178,ID0114569880,2019-08-26,Nickolson,"[('iStream', 2), ('Lucent 330S', 1)]",1530.0,61.23,-37.8173459,144.9658029,5,1514.73,Winter,False,0.3577,"great purchase-best money /value this phone is all you need. the pictures are really good, battery life is very good - it lasts all day playing pokémon go. the screen glass feels great to the touch and response time is awesome.",True
ORD460231,ID0248746912,2019-12-06,Bakers,"[('Thunder line', 2), ('Candle Inferno', 2)]",5220.0,77.57,-37.8218104,144.9925744,25,3992.57,Summer,False,1.3357,"five stars love it, looks great, no issues getting it synced with my carrier.",True
ORD332736,ID0634783037,2019-02-05,Thompson,"[('Toshika 750', 1), ('Universe Note', 2), ('iStream', 2), ('pearTV', 1)]",17830.0,73.13,-37.8118941,144.9393496,10,16120.13,Summer,False,0.6844,performance i am impressed with the performance of this smartphone,True
ORD363784,ID4716795524,2019-09-06,Thompson,"[('iStream', 2), ('Lucent 330S', 1)]",1530.0,86.93,-37.8189019,144.95313149999996,5,1540.43,Spring,True,0.8746,"universe s7 i appreciate that i did get a deal, but it did not say that there were screen burns in the description or else i would have never bought it. i feel its kind of a waste of 80 bucks.",False
ORD411330,ID4716795789,2019-04-25,Thompson,"[('Olivia x460', 2), ('iAssist Line', 2), ('Thunder line', 2), ('Universe Note', 1)]",14710.0,77.85,-37.81743710000001,144.95264419999995,0,14787.85,Autumn,True,0.7222,it's a great product it is everything i expected,True
ORD048485,ID2183273512,2019-02-25,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 2)]",27250.0,80.67,-37.8074794,144.96295590000005,25,20518.17,Summer,False,1.3665,"i jumped on the bandwagon by purchasing an thunder.  i feel like there was a struggle getting connected and then three days later, the device is sharing news and weather.  now we use it some, but have not tapped in to all options.  still testing it out.",True
ORD318891,ID0250933641,2019-01-30,Bakers,"[('Thunder line', 2), ('iAssist Line', 1)]",6585.0,102.67,-37.8240925,145.00285269999995,0,6687.67,Summer,True,1.7063,just like new everything was as if new. perfect!,True
ORD013156,ID0207085315,2019-03-19,Bakers,"[('Alcon 10', 2), ('Thunder line', 1), ('Universe Note', 1)]",23530.00000000002,71.51,-37.8151473,145.0143033,15,20072.010000000013,Autumn,False,1.7725,"replacement phone. good flip phone, rugged.",True
ORD310504,ID0247417668,2019-01-01,Nickolson,"[('iAssist Line', 1), ('iStream', 2)]",2525.0,86.53,-37.8178415,144.9687058,25,1980.28,Summer,True,0.1121,totally satisfied just what i was looking for serious people to make business,True
ORD311580,ID1449289318,2019-08-10,Bakers,"[('Lucent 330S', 1), ('Universe Note', 2), ('Candle Inferno', 1)]",8560.0,78.34,-37.8152092,144.9849396,15,7354.34,Winter,True,1.0752,fantastic fantastic i'm happy with this item,True
ORD381271,ID1545387676,2019-02-02,Thompson,"[('Lucent 330S', 2), ('Thunder line', 1)]",4640.0,101.53,-37.8009685,144.9567085,5,4509.53,Summer,True,1.5545,"great phone !! likes: everything !! shipped quickly, exactly as described, phenomenal phone :)",True
ORD128822,ID0594206762,2019-04-30,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Candle Inferno', 2), ('Alcon 10', 1)]",18580.0,64.33,-37.8164627,144.9651728,0,18644.33,Autumn,False,0.4523,great device works as advertised,True
ORD081248,ID0448076957,2019-02-07,Nickolson,"[('Olivia x460', 2), ('iStream', 1), ('pearTV', 1), ('Lucent 330S', 2)]",11370.0,85.34,-37.7994811,144.9740965,25,8612.84,Summer,False,2.1649,"nice good, working and functional",True
ORD148290,ID3555788038,2019-10-14,Thompson,"[('Thunder line', 1), ('Universe Note', 1)]",5630.0,76.89,-37.8074228,144.9402455,0,5707.68,Spring,False,0.8377,"nice screen, got it at discounted price for my kid, replaced a smaller one he broke. tip add a child proff cover. the migration executive experience amazing! picked up from cloud and i was good to go!",True
ORD096231,ID0571467856,2019-02-14,Bakers,"[('Lucent 330S', 1), ('iAssist Line', 2), ('Universe Note', 1), ('Candle Inferno', 1)]",9560.0,85.49,-37.8205351,145.0144159,10,8689.49,Summer,False,2.0548,"awesome, wish i had gotten one sooner.",True
ORD096195,ID0781114182,2019-03-26,Thompson,"[('Olivia x460', 1), ('Thunder line', 1), ('Universe Note', 2), ('iAssist Line', 1)]",12530.0,66.48,-37.8032271,144.95065480000005,25,9463.98,Autumn,False,1.0978,i definitely like this product.  wanted to be able to watch istream on my tv!  easy to install!,True
ORD097863,ID0145246025,2019-05-09,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Thunder line', 1), ('Toshika 750', 1)]",11175.0,80.7,-37.8162951,144.96058100000005,5,10696.95,Autumn,True,0.8293,this was a surprise when we opened it up! bright and colorful!!,True
ORD277512,ID0589425592,2019-10-02,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 1)]",8130.0,88.96,-37.8094181,144.9726915,5,7812.46,Spring,True,1.0582,the phone didn't work. the phone didn't work. the verizon guy said it kept turning off when he was trying to put out on our account and that the phone was defective,False
ORD066914,ID0129953605,2019-03-01,Bakers,"[('Lucent 330S', 1), ('Candle Inferno', 2), ('iStream', 1), ('pearTV', 2)]",14860.0,76.52,-37.8098444,144.9938212,25,11221.52,Autumn,True,0.1252,"great phone, great price. no fingerprint scanner for the usa though. i absolutely love this phone. it's everything i need in a phone for a cheaper price than a olivia or an alcon. toshika is where it's at. and just like any other toshika product, this one is great.",True
ORD476759,ID0746909537,2019-09-01,Bakers,"[('iStream', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",4835.0,89.01,-37.8227308,145.0153099,15,4198.76,Spring,False,2.2643,all real aasi spect i love everything about it .,True
ORD262803,ID3832253555,2019-09-30,Bakers,"[('Universe Note', 2), ('Candle Inferno', 2), ('Lucent 330S', 1)]",8990.0,106.54,-37.7992427,144.983011,25,6849.04,Spring,True,1.6088,"good deal the weak battery life is the biggest negative, but considering the fact that i needed a phone in a pinch, i received good value for what i paid.",True
ORD476178,ID0579382918,2019-01-20,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Olivia x460', 1), ('Thunder line', 1)]",22535.0,99.65,-37.8245991,144.9430126,25,17000.9,Summer,True,1.3746,great phone after 3 months use phone is great!,True
ORD048762,ID5402876178,2019-05-27,Nickolson,"[('Universe Note', 2), ('Thunder line', 2), ('Alcon 10', 2)]",29160.0,78.15,-37.8204768,144.9771165,0,29240.09,Autumn,True,0.6975,"this is a great tablet for the price. my kid loves it ,does alot reading on it.",True
ORD016083,ID0579497586,2019-09-26,Thompson,"[('Toshika 750', 2), ('Thunder line', 1), ('Candle Inferno', 1)]",11250.0,73.43,-37.814786700000006,144.9500749,25,8510.93,Spring,False,0.3539,five stars it was exactly like it was advertised.,True
ORD275781,ID4733654602,2019-09-17,Thompson,"[('iStream', 1), ('Toshika 750', 2)]",8790.0,102.88,-37.8044009,144.9488091,5,8453.38,Spring,True,0.9335,"the best mid-range terminal excellent phone, it has very good power is flowing throughout.",True
ORD082615,ID0633913026,2019-07-04,Thompson,"[('Olivia x460', 2), ('Universe Note', 2), ('Toshika 750', 1)]",13670.000000000011,64.32,-37.8157841,144.9555109,25,10316.820000000007,Winter,False,0.8192,i love it. the best i have ever owned,True
ORD346687,ID0443530298,2019-11-04,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",10300.0,75.39,-37.8141328,145.00470990000005,25,7800.39,Spring,False,0.9523,five stars loved using it,True
ORD322601,ID0317903866,2019-03-15,Thompson,"[('pearTV', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",17400.0,64.77,-37.8079631,144.9583133,15,14854.77,Autumn,False,1.1193,five stars awesome phone,True
ORD099536,ID0547568785,2019-08-21,Bakers,"[('iStream', 2), ('Olivia x460', 1)]",1525.0,49.13,-37.8127465,144.9884014,25,1192.4,Winter,False,0.6742,don't waste your time or money overheated constantly screen wasn't completely attached and battery so bad had to constantly charge. felt like i had a lindline instead of a mobile phone,False
ORD077467,ID0575472970,2019-04-27,Nickolson,"[('iAssist Line', 2), ('pearTV', 1)]",10760.0,51.89,-37.8197639,144.9814256,5,10273.89,Autumn,False,1.0523,"we bought the tablet for work, but the only app we needed (free) never would download. after many tries and several hours, we gave up and took it back to the store.",False
ORD039569,ID0302571350,2019-05-30,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2)]",2890.000000000003,67.95,-37.8023768,144.9794998,5,2813.4500000000025,Autumn,False,1.6229,ll good,True
ORD308679,ID0581782794,2019-03-06,Thompson,"[('iAssist Line', 1), ('pearTV', 2)]",14845.0,78.84,-37.807684,144.94008280000003,15,12697.09,Autumn,True,0.8282,"the camera is very good and the phone itself is beautiful incredible phone for the actual price, the camera is very good and the phone itself is beautiful.",True
ORD073646,ID3067843936,2019-08-19,Bakers,"[('iStream', 1), ('iAssist Line', 2), ('Toshika 750', 2), ('Candle Inferno', 1)]",13670.0,78.33,-37.800844700000006,145.00316709999996,10,12381.33,Winter,True,1.2348,absolute love love it,True
ORD409399,ID0777793457,2019-10-02,Thompson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Universe Note', 2)]",27025.0,103.47,-37.8073017,144.95551569999995,15,23074.72,Spring,True,0.9526,phone was a 64 gb..... granddaughter loves the phone.,True
