order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD119194,ID3810929407,2019-01-14,Bakers,"[('pearTV', 2), ('Thunder line', 2), ('Candle Inferno', 1)]",17410.0,79.47,-37.82303889999999,144.99124419999995,0,17489.47,Summer,False,1.4936,works and looks like new great phone works and looks like new i recommend,True
ORD467179,ID2948774573,2019-11-12,Nickolson,"[('Alcon 10', 2), ('pearTV', 1), ('Thunder line', 2)]",28570.0,64.67,-37.8085305,144.9717364,25,21492.17,Spring,False,1.1367,i have way more buffering with this device than i do with my pear tv 4 gen. it works just not well. i have a glitch with this unit every time i use it. that indeed takes away from the user experience.,False
ORD019934,ID0579322421,2019-06-29,Bakers,"[('Lucent 330S', 2), ('Universe Note', 1)]",5910.0,74.51,-37.8149206,144.9914054,10,5393.51,Winter,True,0.6432,this cell phone is very good for me for overall this cell phone is very good for me for overall. except i can't find any head phone that can control music like my alcon 6.,True
ORD468273,ID0457365601,2019-02-02,Nickolson,"[('Thunder line', 2), ('Universe Note', 1), ('Alcon 10', 1)]",16760.0,53.38,-37.8207167,144.9707771,0,16813.38,Summer,False,0.2596,returned returned.,False
ORD151085,ID0356099773,2019-08-27,Bakers,"[('Lucent 330S', 1), ('Toshika 750', 1)]",5550.0,68.14,-37.8203369,144.9902518,15,4785.64,Winter,False,1.2316,five stars great and it was less expensive then ordering within my cell company,True
ORD317319,ID0767582148,2019-02-26,Nickolson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('Thunder line', 2)]",7015.0,96.91,-37.8080557,144.9714543,10,6410.41,Summer,True,1.1851,i'm happy with it! what's not to like??? bought this on digico gold day ..damn glad i did!,True
ORD061477,ID0233315285,2019-10-19,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Thunder line', 1)]",6865.0,81.76,-37.8067779,144.97348190000002,25,5230.51,Spring,False,1.3601,"great phone although this was floor model, there were no visible scratches and appears exactly as the description of 'like new'. so far it's also worked perfect so i'm extremely sarisfied.",True
ORD163106,ID0634783035,2019-08-04,Thompson,"[('Olivia x460', 1), ('iAssist Line', 1)]",3450.0,63.81,-37.81195820000001,144.9391759,10,3168.81,Winter,False,0.6987,"the phone is in good condition and works great i would have given 5 stars but the product was listed as ""new"" and it was definitely not new as there was no box or book, the corner has a little chip in it and the home button is scratched up. overall, the phone is in good condition and works great.",True
ORD170698,ID2430634482,2019-06-15,Bakers,"[('Candle Inferno', 2), ('pearTV', 2)]",13480.0,77.79,-37.8038715,144.9917355,15,11535.79,Winter,True,0.7479,five stars great phone.,True
ORD494179,ID6167440987,2019-02-22,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 1)]",4640.0,95.09,-37.8133626,144.962603,10,4271.09,Summer,True,0.8441,five stars fits nicely super cute,True
ORD460462,ID3213448177,2019-03-01,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('Universe Note', 2), ('Olivia x460', 2)]",18030.0,66.43,-37.8088722,144.9592606,15,15391.93,Autumn,False,1.1527,"a new toy i got this phone for my lovely wife. she is very happy with it; so thank you so much digico, you guys are the #1. it works perfect so far.",True
ORD448476,ID6024224415,2019-04-12,Thompson,"[('pearTV', 1), ('iStream', 2)]",6610.0,77.68,-37.8200618,144.9450101,25,5035.18,Autumn,True,0.8422,excellent phone excellent phone. easy to use. battery excellent. have had no trouble,True
ORD353800,ID0247022855,2019-10-27,Nickolson,"[('Universe Note', 2), ('Thunder line', 2)]",11260.0,98.36,-37.81420479999999,144.9690419,0,11358.36,Spring,True,0.4908,great for kidss.. as well as adults... it has all you need,True
ORD150199,ID0287629308,2019-08-18,Thompson,"[('Toshika 750', 2), ('Lucent 330S', 1), ('Thunder line', 2)]",14230.0,50.74,-37.8048558,144.95130580000003,5,13569.24,Winter,False,0.9466,it sucks mine came with dead pixels,False
ORD473734,ID1492145769,2019-08-12,Thompson,"[('iAssist Line', 1), ('pearTV', 1), ('iStream', 1)]",8685.0,61.8,-37.8131187,144.9513892,10,7878.3,Winter,False,0.3832,good value great phone for the price. can't see what i am missing by not buying more expensive model. fingerprint sensor is slow so i use pin.,True
ORD432606,ID0579402276,2019-12-21,Nickolson,"[('Alcon 10', 2), ('Thunder line', 2), ('Candle Inferno', 1)]",22690.0,70.3,-37.8184632,144.9746122,15,19356.8,Summer,False,0.4453,el mejor de todos el mejor celular que he comprado hasta este dia lo mejor de lo mejor supera a alcon eleven pro por mucho desde resolución de camara hasta velocidades de ram es superior hasta con los olivia note o el de última generación.,True
ORD217432,ID4283908176,2019-04-02,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Thunder line', 2)]",23490.0,78.75,-37.8111797,145.000531,15,20045.25,Autumn,True,0.4843,nice phone the phone is a good quality. the clock keeps stopping and a message keeps coming up but over all good phone.,True
ORD052356,ID1132014804,2019-01-27,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Olivia x460', 2), ('Candle Inferno', 1)]",14290.0,88.93,-37.8151782,144.9450536,5,13664.43,Summer,True,0.3304,three stars i am happy with the product that i bought.,True
ORD152666,ID5402876557,2019-02-03,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iStream', 1), ('Alcon 10', 2)]",21735.0,67.37,-37.81883,144.97382439999996,5,20715.62,Summer,False,0.3767,four stars good one for a while,True
ORD349597,ID0136514376,2019-04-04,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 2), ('Olivia x460', 2)]",13315.0,78.15,-37.8187309,144.961279,15,11395.9,Autumn,True,0.7276,great service by just as advertised. great service by seller,True
ORD489201,ID0364846844,2019-03-13,Bakers,"[('Alcon 10', 1), ('Thunder line', 2), ('Toshika 750', 2)]",21950.0,82.25,-37.8038238,144.9804331,0,22032.25,Autumn,True,1.4718,its a great price for a very good phone its a great price for a very good phone. i f you have not had a windows phone it may take a few days to get used to but once you do it functions really well.,True
ORD324322,ID5642310405,2019-07-20,Nickolson,"[('Lucent 330S', 1), ('Candle Inferno', 1), ('Toshika 750', 2), ('Thunder line', 2)]",14660.0,83.07,-37.803023,144.9679516,15,12544.07,Winter,True,1.7391,phone is fantastic love having the s pen and the camera is unreal.,True
ORD277856,ID2383211199,2019-08-16,Nickolson,"[('Universe Note', 2), ('Olivia x460', 2), ('Alcon 10', 2)]",27250.0,79.28,-37.8095512,144.963753,0,27329.28,Winter,True,1.1285,"na it was late , but works just fine",True
ORD457983,ID0702451422,2019-03-20,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2), ('iAssist Line', 1), ('Candle Inferno', 2)]",8675.0,65.14,-37.8049066,144.94772969999997,15,7438.89,Autumn,False,0.8665,satisfied came on time and worked perfectly.,True
ORD418179,ID6202514700,2019-05-17,Nickolson,"[('Toshika 750', 1), ('iAssist Line', 1), ('Thunder line', 2), ('pearTV', 2)]",23525.0,51.28,-37.8213638,144.9628387,0,23576.28,Autumn,False,0.6659,paquete extraviado el paquete todavía no llega a casilla me podrían ayudar con un respaldo de quien.recibió el paquete,False
ORD156927,ID0233314809,2019-11-26,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 1), ('iAssist Line', 1), ('iStream', 1)]",21505.0,93.85,-37.804112,144.9739368,0,21598.85,Spring,True,1.6577,i would not purchase this item again as there is no 4k content.,False
ORD446701,ID1053540533,2019-12-31,Bakers,"[('Universe Note', 2), ('Alcon 10', 2), ('Candle Inferno', 1), ('Olivia x460', 1)]",26455.0,100.17,-37.8038037,145.01084619999995,25,19941.42,Summer,True,1.5366,"five stars very good price, perfect match for my verizon account, with no questions asked.good condition, fast delivery",True
ORD366176,ID0253027639,2019-02-20,Thompson,"[('Lucent 330S', 2), ('pearTV', 1), ('Thunder line', 2)]",13130.0,96.26,-37.8237941,144.9474733,5,12569.76,Summer,True,1.2385,phone great little phone for the money,True
ORD352851,ID1982318497,2019-03-25,Bakers,"[('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 1)]",12400.0,65.23,-37.80154320000001,144.9923258,15,10605.23,Autumn,True,0.9751,no from the usa this phone i677 has 4g network this item only 3g network.market place can no work.this phone no from the usa.it looks like nsed,False
ORD412215,ID5448707281,2019-02-19,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2)]",22350.0,98.2,-37.8217305,144.9367444,10,20213.2,Summer,True,1.3568,beautiful phone and interface beautiful phone and interface. it is on the more solid side but honestly it's a good kind of solid. amazing battery life.,True
ORD115944,ID2174963243,2019-09-13,Thompson,"[('Universe Note', 1), ('pearTV', 1), ('Toshika 750', 1), ('iStream', 1)]",14230.0,74.75,-37.8169506,144.95317230000003,10,12881.75,Spring,False,0.7175,"beautiful phone-okay battery great phone, beautiful screen, and works well. the battery is okay with the 7.0 update, can't wait to get the 7.1 update as well.",True
ORD059015,ID0583063751,2019-09-26,Thompson,"[('iAssist Line', 1), ('pearTV', 2), ('Candle Inferno', 1)]",15275.0,94.62,-37.8022422,144.9328757,5,14605.87,Spring,True,1.7048,"most certainly would come with a bad battery buy but be warned the battery would come dead or almost dead. asides that , it was a very clean phone to buy",False
ORD115561,ID3419354751,2019-11-16,Nickolson,"[('Thunder line', 1), ('Toshika 750', 2)]",10820.0,62.77,-37.80933220000001,144.97312140000005,5,10341.77,Spring,False,1.0779,"title says 4gb, description says 6gb this listing looks suspect. there are inconsistencies in the title and description.",False
ORD285195,ID0777783546,2019-06-23,Thompson,"[('Universe Note', 2), ('iStream', 1), ('Olivia x460', 1), ('Thunder line', 1)]",10455.0,50.72,-37.805423,144.953791,10,9460.22,Winter,False,1.0004,"garbage software! decent phone but...garbage os update! do not get marshmallow. if you have a sd card it will auto unmount. if you remove it or restart the phone it will show up but only for a few minutes.oh, and the icing on the cake, they dump panda pop on your phone too! if you happen to have picked up this update (virus) root your phone asap!",False
ORD472506,ID0746912598,2019-02-28,Nickolson,"[('Thunder line', 1), ('Candle Inferno', 2), ('iStream', 2), ('Lucent 330S', 2)]",5800.0,64.33,-37.8243547,144.9845334,0,5864.33,Summer,False,1.4652,"it keeps dropping calls the wifi don't work this is a waste of money this phone is worthless, it keeps dropping calls the wifi don't work this is a waste of money",False
ORD388125,ID2133731379,2019-03-10,Thompson,"[('pearTV', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",21690.0,60.63,-37.8143652,144.9473851,10,19581.63,Autumn,True,0.1904,i would not recommend this to anyone. it won't load istream or if it does on rare occasion it won't run the program all the way thru. it tells you the we are unable to process this title at this time. try again later.  it is not the istream site cause i can stream it just fine on my computer.  its the infernostick. very disappointing.,False
ORD089568,ID0307349700,2019-10-03,Bakers,"[('Thunder line', 1), ('Olivia x460', 1), ('pearTV', 2), ('Lucent 330S', 1)]",17255.0,101.87,-37.8168514,144.9900071,5,16494.12,Spring,True,0.8908,nice phone for the price. i love the phone. but the only problem is the sound is not clear. sometimes it fades in and out or the person on the other end sounds love me they are under water.otherwise the phone is very nice. i'm satisfied.,True
ORD496918,ID6167289317,2019-06-29,Nickolson,"[('pearTV', 2), ('Lucent 330S', 2), ('Universe Note', 2), ('Toshika 750', 1)]",26300.0,63.87,-37.8089655,144.9664333,0,26363.87,Winter,True,1.1064,nothing it doesn't have a pen. i decided to buy one separately and found out that the pen slot was broken. which didn't allow the pen to go inside,False
ORD115823,ID0746427709,2019-11-07,Bakers,"[('pearTV', 1), ('Toshika 750', 1), ('iAssist Line', 1)]",12855.0,99.63,-37.8167289,144.9948716,15,11026.38,Spring,True,0.7501,four stars we are satisfied with the item,True
ORD373123,ID0575429350,2019-09-03,Nickolson,"[('Thunder line', 1), ('Universe Note', 2)]",9080.0,103.35,-37.8187564,144.9832053,25,6913.35,Spring,True,1.2008,fantastic phone all i expected and more.,True
ORD287771,ID2489014343,2019-04-25,Bakers,"[('iStream', 1), ('Universe Note', 1)]",3600.0,82.92,-37.7984899,144.9779754,25,2782.92,Autumn,True,1.986,love it!! great product!!!,True
ORD251444,ID0560985149,2019-11-06,Thompson,"[('pearTV', 2), ('Alcon 10', 1)]",21570.0,72.19,-37.8163977,144.9459686,15,18406.69,Spring,False,0.4257,"love this phone i got this phone just to experience a windows phone and i have to say, i'm sad that they did not survive. although it lacks in apps but pretty neat phone still today. my biggest complain is that you can't disable the heptic vibration feedback, which can be annoying sometime. i",True
ORD429861,ID1545387615,2019-12-27,Thompson,"[('Universe Note', 2), ('Alcon 10', 2), ('Lucent 330S', 1), ('Thunder line', 1)]",28210.0,79.13,-37.8009979,144.9566807,10,25468.13,Summer,False,1.5504,"i love this phone so much product arrived a week early, delighted - it's a a great phone. technically can hold it's own against all other brands, it's very impressive. practically no loading times between apps.",True
ORD258949,ID0711783654,2019-01-04,Thompson,"[('Universe Note', 1), ('iAssist Line', 1)]",5675.0,89.67,-37.8165079,144.9458344,25,4345.92,Summer,True,0.4405,five stars grate and easy to use,True
ORD053720,ID0387152932,2019-04-19,Thompson,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675.0,78.5,-37.8055668,144.9449396,25,4334.75,Autumn,True,0.8129,"very satisfied with my purchase. phone was in excellent condition , just as described.",True
ORD089101,ID2299500155,2019-04-21,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820.0,66.33,-37.8051604,144.9602013,25,5181.33,Autumn,False,1.4259,the best value price ratio xiaomi is the best and this redmi note 7 is the maximum price value,True
ORD248793,ID4520380474,2019-09-12,Nickolson,"[('Toshika 750', 2), ('Olivia x460', 1), ('pearTV', 1)]",16175.0,77.46,-37.82580220000001,144.9602649,25,12208.71,Spring,False,1.1447,fastest phone ive ever had never going back to android...only con is battery life other this is a great phone needs more aps but has almost everything i need,True
ORD410712,ID0634783845,2019-03-06,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1), ('Universe Note', 2), ('Alcon 10', 1)]",22620.0,65.83,-37.8141701,144.9558816,25,17030.83,Autumn,False,0.7927,five stars great quality and value,True
ORD164502,ID0846567074,2019-05-01,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 2), ('Lucent 330S', 1)]",8130.0,61.18,-37.8202417,144.9687,0,8191.18,Autumn,False,0.198,five stars the phone is very good quality.,True
ORD427544,ID2935371923,2019-09-19,Bakers,"[('Thunder line', 2), ('iStream', 1), ('Lucent 330S', 2), ('pearTV', 1)]",13280.0,83.13,-37.8251249,144.99199380000005,10,12035.13,Spring,False,1.708,nice phone with plenty of power and great features definitely a step up over budget phones i am used to having. took one star off for all the built in mi apps and advertisements that come with it... can replace most of them with google apps if you want to avoid their cloud,True
ORD456340,ID4633573547,2019-05-18,Thompson,"[('Universe Note', 1), ('iAssist Line', 1), ('pearTV', 1)]",11985.0,65.65,-37.8054343,144.94384430000005,0,12050.65,Autumn,False,0.8543,five stars love it!!!!,True
ORD158635,ID2189382624,2019-11-17,Nickolson,"[('pearTV', 2), ('Olivia x460', 1), ('Thunder line', 1), ('Toshika 750', 1)]",20345.0,79.61,-37.8083294,144.9772997,25,15338.36,Spring,False,1.3305,fantastic flip phone great little phone. fast delivery.,True
